line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,proceeds,comm_fee,basis,realized_p_l,code,notional_value,comm_in_usd,field_10,field_11
169,Data,trades__01,Order,Stocks,USD,TW,"2025-02-11, 13:14:51",-20,122.90125,2458.025,-1.072573095,-2643.0012,-186.048773,C;P,,,,
170,SubTotal,trades__01,,Stocks,USD,TW,,-20,,2458.025,-1.072573095,-2643.0012,-186.048773,,,,,
171,Data,trades__01,Order,Stocks,USD,V,"2025-01-03, 09:30:01",3,314.18,-942.54,-1.000105,943.540105,0,O,,,,
172,SubTotal,trades__01,,Stocks,USD,V,,3,,-942.54,-1.000105,943.540105,0,,,,,
173,Data,trades__01,Order,Stocks,USD,VBNK,"2025-02-10, 12:04:06",145,13.93,-2019.85,-1.005075,2020.855075,0,O,,,,
174,Data,trades__01,Order,Stocks,USD,VBNK,"2025-03-10, 11:42:27",-145,10.185,1476.825,-1.071795735,-2020.855075,-545.101871,C,,,,
175,SubTotal,trades__01,,Stocks,USD,VBNK,,0,,-543.025,-2.076870735,0,-545.101871,,,,,
176,Data,trades__01,Order,Stocks,USD,WHR,"2025-03-31, 10:57:31",-2,88.93,177.86,-1.005368508,-176.854631492,0,O,,,,
177,Data,trades__01,Order,Stocks,USD,WHR,"2025-04-09, 14:07:40",2,84.23,-168.46,-1.000092,176.854631,7.394539,C,,,,
178,SubTotal,trades__01,,Stocks,USD,WHR,,0,,9.4,-2.005460508,-0.000000492,7.394539,,,,,
179,Data,trades__01,Order,Stocks,USD,YETI,"2025-03-31, 10:58:57",-6,32.85,197.1,-1.00675138,-196.09324862,0,O,,,,
180,Data,trades__01,Order,Stocks,USD,YETI,"2025-04-09, 14:07:03",6,30.225,-181.35,-1.000276,196.093249,13.742973,C,,,,
181,SubTotal,trades__01,,Stocks,USD,YETI,,0,,15.75,-2.00702738,0.00000038,13.742973,,,,,
182,Total,trades__01,,Stocks,USD,,,,,-7523.5545,-44.683657447,5525.879530828,-3787.130382, ,,,,
184,Data,trades__01,Order,Equity and Index Options,USD,NXT 16MAY25 30 C,"2025-02-03, 10:01:36",1,18.95,-1895,-0.25525,919.925156,-975.330094,C,,,,
185,SubTotal,trades__01,,Equity and Index Options,USD,NXT 16MAY25 30 C,,1,,-1895,-0.25525,919.925156,-975.330094,,,,,
186,Data,trades__01,Order,Equity and Index Options,USD,NXT 15AUG25 30 C,"2025-04-04, 11:51:33",-1,11.51,1151,-1.0920378,-1063.04395,86.864012,C;L,,,,
187,Data,trades__01,Order,Equity and Index Options,USD,NXT 15AUG25 30 C,"2025-04-09, 09:51:42",-1,10.03,1003,-1.0879234,-1062.04395,-60.131873,C,,,,
188,SubTotal,trades__01,,Equity and Index Options,USD,NXT 15AUG25 30 C,,-2,,2154,-2.1799612,-2125.0879,26.732139,,,,,
189,Data,trades__01,Order,Equity and Index Options,USD,PCTY 21FEB25 180 C,"2025-02-21, 10:16:10",-2,25.68,5136,-1.5588608,-4847.3929,287.04824,C;P,,,,
190,SubTotal,trades__01,,Equity and Index Options,USD,PCTY 21FEB25 180 C,,-2,,5136,-1.5588608,-4847.3929,287.04824,,,,,
191,Data,trades__01,Order,Equity and Index Options,USD,PDD 15AUG25 110 C,"2025-02-14, 12:39:42",-1,27.36,2736,-1.1341008,-2734.8658992,0,O,,,,
192,Data,trades__01,Order,Equity and Index Options,USD,PDD 15AUG25 110 C,"2025-02-14, 12:43:09",-1,27.45,2745,-1.134351,-2743.865649,0,O,,,,
193,Data,trades__01,Order,Equity and Index Options,USD,PDD 15AUG25 110 C,"2025-02-21, 15:00:45",2,30.95,-6190,-1.4155,5117.539697,-712.683952,C;P,,,,
194,SubTotal,trades__01,,Equity and Index Options,USD,PDD 15AUG25 110 C,,0,,-709,-3.6839518,-361.1918512,-712.683952,,,,,
